LayoutMsg\Common_CinemaScope_00.msbt
SubjectMiiName	{[c800|0502010d]}
LayoutMsg\Common_DialogS_00.msbt
Donation_00	今天收到的募捐金额为{color[0000]}{[640e|000100cd]}{color[ffff]}。\n还请珍惜使用。
LayoutMsg\Common_Dialog_00.msbt
T_Text_ShopBackConfirm	购物车中放有商品，\n要放弃购买并离开商店吗？
T_Text_ShopBackConfirm_Cancel	返回
T_Text_ShopBackConfirm_OK	离开商店
PersonalityEdit_ExitConfirm	放弃更改微个性并返回。\n\n可以吗？
PersonalityEdit_ExitConfirm_Cancel	不行！
PersonalityEdit_ExitConfirm_OK	OK
PhraseEdit_ExitConfirm	放弃更改口头禅并返回。\n\n可以吗？
PhraseEdit_ExitConfirm_Cancel	不行！
PhraseEdit_ExitConfirm_OK	OK
PhraseEdit_ChangeKindConfirm	超出了{color[0000]}{[0208|00cd]}{color[ffff]}的\n可登录字数限制。\n\n可以删除超出的文字吗？
PhraseEdit_ChangeKindConfirm_Cancel	不行！
PhraseEdit_ChangeKindConfirm_OK	删除
RelationNameEdit_ExitConfirm	放弃更改称呼方式并返回。\n\n可以吗？
RelationNameEdit_ExitConfirm_Cancel	不行！
RelationNameEdit_ExitConfirm_OK	OK
ChangeClothes_ExitConfirm	放弃更改服装并返回。\n\n可以吗？
ChangeClothes_ExitConfirm_Cancel	不行！
ChangeClothes_ExitConfirm_OK	OK
ChangeInterior_ExitConfirm	放弃更改屋内布置并返回。\n\n可以吗？
ChangeInterior_ExitConfirm_Cancel	不行！
ChangeInterior_ExitConfirm_OK	OK
ChangeExterior_ExitConfirm	放弃更改房屋外观并返回。\n\n可以吗？
ChangeExterior_ExitConfirm_Cancel	不行！
ChangeExterior_ExitConfirm_OK	OK
PlayerName_ExitConfirm	放弃更改称呼玩家的方式并返回。\n\n可以吗？
PlayerName_ExitConfirm_Cancel	不行！
PlayerName_ExitConfirm_OK	OK
MiiFirstPerson_ExitConfirm	放弃更改称呼自己的方式并返回。\n\n可以吗？
MiiFirstPerson_ExitConfirm_Cancel	不行！
MiiFirstPerson_ExitConfirm_OK	OK
IslandName_ExitConfirm	放弃更改岛屿名称并返回。\n\n可以吗？
IslandName_ExitConfirm_Cancel	不行！
IslandName_ExitConfirm_OK	OK
PlayerNickNameEdit_Tutorial	“{color[0000]}这个Mii称呼你的方式{color[ffff]}”\n可以随时在“Mii菜单”的\n“{color[0000]}话语{color[ffff]}”中编辑。
FirstTreasureGoods_Tutorial	获得了“{color[0000]}宝物{color[ffff]}”！{[0004]}想知道它的用处是什么？\n\n这个嘛……{[0004]}Mii如果收到这样的礼物，\n或许会很高兴！
MiiAdd_CannotAdd_MiiNumLimit	无法继续新增Mii。\n\n从菜单的“居民列表”\n选择Mii并移除，\n便可继续新增Mii。
MiiAdd_HouseCreate	为{[c800|0502000d]}建设房屋吧！\n\n请决定建设位置。
MiiAdd_HouseCreateFirst	现在可以为{[c800|0502000d]}建设房屋……\n\n从这次开始，\n你可以把房屋建设在任意位置。{[0004]}请决定{[c800|0502000d]}的\n房屋建设位置。
MiiAdd_HouseCreateLocalNetwork	为通过本地联机接收的Mii\n建设房屋吧！\n\n请选择要为其建设房屋的Mii。
MiiAdd_HouseCreateLocalNetworkContinue	为通过本地联机接收的剩余Mii\n建设房屋吧！\n\n请选择要为其建设房屋的Mii。
MiiAdd_HouseCreateLocalNetworkCancel	剩余Mii的房屋不会布置在岛上，\n且Mii会被移除。\n\n可以吗？
MiiAdd_HouseCreateLocalNetworkCancel_Yes	OK
MiiAdd_HouseCreateLocalNetworkCancel_No	不行！
LiveTogether_NewHouse	为{[c800|0502000d]}和伙伴\n建设房屋吧！\n\n请决定房屋位置。
LiveTogether_LeaveHome_Alone	为{[c800|0502000d]}\n建设新房屋吧！\n\n请决定房屋位置。
Propo_SelectDisableChildren	{[c800|0502000d]}的房屋里\n没有可用于和别人同住的空房间。
LiveTogether_NoSpaceCouple	{[c800|0502000d]}处于已婚状态，\n但是没有可供其配偶居住的空房间。\n\n请减少要带上的Mii，\n并重新选择。
LiveTogether_NoSpaceCouple_OK	OK
Fountain_Common_InsufficientRight	目前无法实现愿望……\n\n请再多收集些心情球来。
Fountain_SomethingNew	有新的愿望可以实现了！
Fountain_RenovationNew_01	“装修商店”愿望能增加\n可在商店中购买的家居布置组合。
Fountain_RenovationNew_02	在实现愿望后，\n可以获赠一套新家居布置组合！
Fountain_Building	“岛屿建设商店”愿望能增加\n可在商店中购买的商品。{[0004]}在实现愿望后，\n可以获赠一件新商品！
Fountain_Laying	“岛屿建设”愿望能增加\n可在岛屿建设中使用的地面种类。
Fountain_Atelier	“物品工坊”愿望能增加\n可在物品工坊中制作的物品。
IslandEdit_Reset_00	将编辑过的岛屿恢复原状。\n\n可以吗？
IslandEdit_Reset_01	正在重置……
IslandEdit_Reset_02	已重置。
IslandEdit_TutorialObject_01	在“{color[0000]}岛屿建设{color[ffff]}”中，\n可以自由地布置建筑物和物件。
IslandEdit_TutorialObject_01_Next	下一步
IslandEdit_TutorialObject_02	先按“{color[0000]} 建设{color[ffff]}”，\n再选择{color[0000]}长椅{color[ffff]}试试吧。
IslandEdit_TutorialObject_03_2	这次请选择{color[0000]}长椅{color[ffff]}。
IslandEdit_TutorialObject_04	将长椅放置在\n{color[0000]}闪烁区域中{color[ffff]}的任意位置吧。
IslandEdit_TutorialObject_05	这次请放置在{color[0000]}闪烁区域中{color[ffff]}。
IslandEdit_TutorialObject_06	做得不错！\n\n位置和朝向可以稍后更改。
IslandEdit_TutorialObject_08	请按 {color[0000]}{color[ffff]} 来结束岛屿建设。
IslandEdit_TutorialFloor_02	这次请选择{color[0000]}草地{color[ffff]}。\n\n如果想使用其他地面，\n请稍后再来。
IslandEdit_TutorialFloor_03	这是你第一次建设地面，位置先替你决定好了。\n\n将草地放置在{color[0000]}闪烁区域中{color[ffff]}，\n让地面连接起来吧。
IslandEdit_TutorialFloor_04	太棒了！\n\n地面连接起来了。
IslandEdit_TutorialFloor_06	请按 {color[0000]}{color[ffff]} 来结束岛屿建设。
IslandEdit_TutorialObjGauge_01	岛屿上物件琳琅满目，真是趣味十足呢！
IslandEdit_TutorialObjGauge_02	物件可以随意放置于岛上，\n直到此计量条攒满。{[0004]}看起来还能放置很多呢……\n\n就按这个势头不断促进\n{[021b|00cd]}的发展吧！
UGCEditor_UgcFinish	放弃更改面部彩绘并返回。\n\n可以吗？
UGCEditor_UgcEditCancel	放弃制作{[0208|00cd]}\n并返回。\n\n可以吗？
UGCEditor_UgcReEditCancel	如果放弃编辑，\n设计将恢复为编辑前的样子。\n\n可以吗？
UGCEditor_UgcEditCancel_Cancel	不行！
UGCEditor_UgcEditCancel_OK	OK
UGCEditor_SaveSuspendData	要临时保存未完成的\n“{[0208|00cd]}”吗？
UGCEditor_SaveSuspendData_Cancel	不保存
UGCEditor_SaveSuspendData_OK	保存
UGCEditor_UgcNoDraw	未进行绘制，无法保存。
UGCEditor_UgcNoDraw_OK	OK
UGCEditor_UgcFeatureEdit_00	如果放弃编辑，\n此更改将不会应用。\n\n可以吗？
UGCEditor_UgcFeatureEdit_Cancel	不行！
UGCEditor_UgcFeatureEdit_OK	OK
UGCEditor_UgcMax	无法制作更多\n“{color[0000]}{[0208|00cd]}{color[ffff]}”。\n\n从“制作的物品一览”中删除物品后，\n方可继续制作。
UGCEditor_UgcMax_OK	OK
MiiEditor_ExitConfirm_00	放弃制作Mii并返回。\n\n可以吗？
MiiEditor_ExitConfirm_00_Continue	不行！
MiiEditor_ExitConfirm_00_OK	OK
MiiEditor_ExitConfirm_01	要临时保存未完成的Mii吗？\n\n※稍后可继续制作。
MiiEditor_ExitConfirm_01_Discard	不保存
MiiEditor_ExitConfirm_01_Save	保存
MiiEditor_ExitConfirmEasy_00	放弃制作Mii并返回最初的画面。\n\n可以吗？
MiiEditor_ExitConfirmEasy_00_Continue	不行！
MiiEditor_ExitConfirmEasy_00_OK	OK
MiiEditor_ChangeNormalEditor	要切换为“{color[0000]}通过部位制作{color[ffff]}”来调整吗？\n（无法切换回“{color[0000]}通过提问制作{color[ffff]}”。）\n\n可以吗？
MiiEditor_ChangeNormalEditor_Cancel	不行！
MiiEditor_ChangeNormalEditor_OK	OK
UGCEditor_AtelierUgcDelete_00	确定要删除吗？\n\n{size[4b00]}※删除后，至今为止购买下的物品也会从岛上消失。{size[6400]}
UGCEditor_AtelierUgcDelete_01	确定要删除吗？\n\n{size[4b00]}※删除后，至今为止购买下的物品也会从岛上消失。\n※与之相关的Mii新闻，即便被锁定，也可能消失。{size[6400]}
UGCEditor_AtelierUgcDelete_02	确定要删除吗？\n\n{size[4b00]}※删除后，放置了此地面的地方会变成草地。{size[6400]}
UGCEditor_AtelierUgcDelete_Cancel	不行！
UGCEditor_AtelierUgcDelete_OK	删除
UGCEditor_AtelierUgcDelete_Finish	已删除。
UGCEditor_AtelierUgcDelete_Finish_OK	OK
UGCEditor_AtelierUgcDelete_House	正应用于Mii的房屋，\n无法删除。
UGCEditor_AtelierUgcDelete_House_OK	OK
UGCEditor_ContinueUgcDelete_00	删除后真的会消失。\n\n可以吗？
UGCEditor_ContinueUgcDelete_Cancel	不行！
UGCEditor_ContinueUgcDelete_OK	OK
MiiEditor_BloodRelation_ExitConfirm	放弃更改关系并返回。\n\n可以吗？
MiiEditor_BloodRelation_ExitConfirm_Cancel	不行！
MiiEditor_BloodRelation_ExitConfirm_OK	OK
