MESS_ARCHIVE_Profile


Message Name: Message


MID_PROFILE_名前: 名字
MID_PROFILE_性別: 性别
MID_PROFILE_出身地: 出身地
MID_PROFILE_等級: 等级
MID_PROFILE_勲章: 勋章
MID_PROFILE_名声値: 名声值
MID_PROFILE_モード: 模式
MID_PROFILE_難易度: 难易度
MID_PROFILE_メイン_説明_編集: 编辑
MID_PROFILE_メイン_説明_登録: 登录·更新
MID_PROFILE_性別_説明: 请选择性别
MID_PROFILE_出身地_説明: 请选择出身地
MID_PROFILE_フェイス_説明: 请选择缩略图
MID_PROFILE_新規_キャンセル確認: 不登录简历卡，\n则无法继续下一步骤。\n要中断登录吗？
MID_PROFILE_編集_キャンセル確認: 内容有变动。\n不更新就结束吗？
MID_PROFILE_新規_登録確認: 要登录简历卡，\n继续下一步骤吗？
MID_PROFILE_編集_登録確認: 要更新简历卡后，\n结束编辑吗？
MID_PROFILE_新規_名前が空: 请输入名字。
MID_PROFILE_勲章リスト_タイトル: 勋章
MID_PROFILE_性別_男性: 男
MID_PROFILE_性別_女性: 女
MID_PROFILE_性別_その他: 其他
MID_PROFILE_出身地_設定なし: 
MID_PROFILE_出身地_アルバニア: 阿尔巴尼亚
MID_PROFILE_出身地_アンドラ: 安道尔
MID_PROFILE_出身地_アンギラ: 安圭拉
MID_PROFILE_出身地_アンティグア・バーブーダ: 安地卡及巴布达
MID_PROFILE_出身地_アルゼンチン: 阿根廷
MID_PROFILE_出身地_アルバ: 阿鲁巴
MID_PROFILE_出身地_オーストラリア: 澳大利亚
MID_PROFILE_出身地_オーストリア: 奥地利
MID_PROFILE_出身地_アゼルバイジャン: 阿塞拜疆
MID_PROFILE_出身地_バハマ: 巴哈马
MID_PROFILE_出身地_バーレーン: 巴林
MID_PROFILE_出身地_バルバドス: 巴巴多斯
MID_PROFILE_出身地_ベルギー: 比利时
MID_PROFILE_出身地_ベリーズ: 伯利兹
MID_PROFILE_出身地_バミューダ: 百慕大
MID_PROFILE_出身地_ボリビア: 玻利维亚
MID_PROFILE_出身地_ボスニア・ヘルツェゴビナ: 波斯尼亚和黑塞哥维那
MID_PROFILE_出身地_ボツワナ: 博兹瓦纳
MID_PROFILE_出身地_ブラジル: 巴西
MID_PROFILE_出身地_英領ヴァージン諸島: 英属维京群岛
MID_PROFILE_出身地_ブルガリア: 保加利亚
MID_PROFILE_出身地_カナダ: 加拿大
MID_PROFILE_出身地_ケイマン諸島: 开曼群岛
MID_PROFILE_出身地_チャド: 乍得
MID_PROFILE_出身地_チリ: 智利
MID_PROFILE_出身地_中国: 中国
MID_PROFILE_出身地_コロンビア: 哥伦比亚
MID_PROFILE_出身地_コスタリカ: 哥斯达黎加
MID_PROFILE_出身地_クロアチア: 克罗地亚
MID_PROFILE_出身地_キプロス: 塞浦路斯
MID_PROFILE_出身地_チェコ: 捷克
MID_PROFILE_出身地_デンマーク: 丹麦
MID_PROFILE_出身地_ジブチ: 吉布提
MID_PROFILE_出身地_ドミニカ国: 多米尼克
MID_PROFILE_出身地_ドミニカ共和国: 多米尼加
MID_PROFILE_出身地_エクアドル: 厄瓜多尔
MID_PROFILE_出身地_エジプト: 埃及
MID_PROFILE_出身地_エリトリア: 厄立特里亚
MID_PROFILE_出身地_エストニア: 爱沙尼亚
MID_PROFILE_出身地_フィンランド: 芬兰
MID_PROFILE_出身地_フランス: 法国
MID_PROFILE_出身地_フランス領ギアナ: 法属圭亚那
MID_PROFILE_出身地_ドイツ: 德国
MID_PROFILE_出身地_ジブラルタル: 直布罗陀
MID_PROFILE_出身地_ギリシャ: 希腊
MID_PROFILE_出身地_グレナダ: 格林纳达
MID_PROFILE_出身地_グアドループ: 法属瓜德罗普
MID_PROFILE_出身地_グアテマラ: 危地马拉
MID_PROFILE_出身地_ガーンジー: 根西岛
MID_PROFILE_出身地_ガイアナ: 圭亚那
MID_PROFILE_出身地_ハイチ: 海地
